time,dist,stance_time,cycle_time,initialContact,midStance,earlySwing,midSwing,terminalSwing
51,269.6596079486,211,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
52,274.1082995568,215,1.3186813187,0.26373626370000003,0.13186813190000002,0.13186813190000002,0.3956043956,0.3956043956
53,279.8673431549,218,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
54,285.6342924451,221,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
55,292.6217837466,219,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
56,299.6092748003,218,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
57,306.56371402,220,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
58,313.5149285235,223,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
59,320.0955907701,221,1.3333333333000001,0.2666666667,0.1333333333,0.1333333333,0.4,0.4
60,326.676252964,220,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
61,333.3497183608,221,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
62,340.0232525742,222,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
63,346.6032254857,225,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
64,353.181834058,228,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
65,359.2806819559,228,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
66,365.3795297779,229,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
67,370.5219812586,229,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
68,375.6644326493,230,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
69,380.0276378783,231,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
70,384.3867361496,232,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
71,388.2753210821,234,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
72,392.1582651422,236,1.3793103448,0.27586206900000004,0.1379310345,0.1379310345,0.41379310340000003,0.41379310340000003
73,396.0165711168,232,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
74,399.8681513981,229,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
75,403.662229538,228,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
76,407.4504302574,227,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
77,411.2094533678,224,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
78,414.9684763085,222,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
79,418.6199240806,227,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
80,422.2842548383,233,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
81,426.1240509658,228,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
82,429.9695097749,224,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
83,434.1657554068,225,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
84,438.3748917996,227,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
85,442.8880630863,227,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
86,447.4012341262,228,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
87,452.102066223,228,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
88,456.8043627884,229,1.3636363636,0.2727272727,0.13636363640000002,0.13636363640000002,0.4090909091,0.4090909091
89,461.4984082679,230,1.3483146067,0.2696629213,0.13483146070000002,0.13483146070000002,0.40449438200000004,0.40449438200000004
